Leadership Self-Reflection Tool | Weekly Task Tracker,,,,,"(*) When planning adidas timelines, 3-weeks low/no availibility of adidas stakeholders from 22-Dec to 9-Jan (Christmas, New Year, and Epiphany holidays)",,,,,,,,,
✓,Wk Focus,Workstream,Task title,Task description,Why it matters,Latest update (19.11.2025),Adidas comments for next review (26.11.2025),Start,Wks (*),End,Lead,Status,Owner (adi),Owner (bsq)
FALSE,,PRODUCT DEV,Product Roadmap,"Prepare and update the MVP and associated product roadmap bi-weekly for the team, focusing on architecture decisions, including multilingual support for future scope. (Kicked off at the workshop on 10 November; see Product Roadmap file for details.)","Manage stakeholder expectations: Defining the product features in scope for MVP (early December), Pilot Testing (mid-January), the Enterprise Product (early April), and Future Scope.","Product Roadmap Review: Agreed 2-3 week cadence. Next reviews: 24 November (Pre-MVP Test) and 10 December (Post-MVP Test). Baresquare to prepare, facilitate, and document.",,31-Oct,21.0,27-Mar,baresquare,On Track,Zsofia,Nikos
FALSE,,PRODUCT DEV,"Updated UI 
(Mini Test)",Baresquare is working with a designer to prepare the updated version based on the consolidated and prioritized feedback within the next 2 weeks - we have almost everything we need,"Finalising the validated user interface design is a mandatory prerequisite for completing the work necessary for the Pilot Testing in Jan./Feb., keeping the project on track for the April Enterprise Go-Live.","Changes Implemented: All functional, copy, and quick-win changes are now complete based on feedback. UI Revamp: Brief shared with external designer (15 Nov); ETA 26 Nov. Code Testing Exception: Implemented to allow all users (assigned to 'Director' cohort) to complete the self-reflection.",,14-Nov,2.0,28-Nov,baresquare,On Track,Zsofia,Nikos
TRUE,,PRODUCT DEV,"Updated UI 
(Mini Test)",Quick feedback: a) pillar images b) full stops c) remove the wave hand emoji from the welcome screen? d) links to be 100% sure e) 24 and not 23 questions f) micro actions introduction (YES/NO)?,Validated UX and functionality is a prerequisite for completing the UI design / update in the next 2 weeks (for the Mini Testing),Completed,,14-Nov,0.0,14-Nov,baresquare,Completed,Zsofia,Nikos
TRUE,,PRODUCT DEV,Micro-Actions v3 review (Mini Test),"Review if micro actions provide useful leadership recommendations, contain words/languages not suitable for adidas, or miss words/languages not suitable for adidas","Micro-actions are the core of the LSR tool. They have to be relevant for the related leadership cohort, relate to the the self-reflection input the user gave, and align with the adidas tone and voice",Completed,,28-Oct,2.3,13-Nov,adidas,Completed,Zsofia,Nikos
FALSE,X,PRODUCT DEV,Ratings (Pilot),Confirm requirements for “Thumbs up/down” and other (optional) feedback functionality for Micro-Actions and Learning Recommendations.,Providing users with an easy way to give feedback on the tool’s usability and usefulness enables adidas and the product team to collect insights at scale. This is critical to ensuring an excellent user experience (UX) and informing future enhancements.,"Feature Feedback Mechanism: MVP feature (Thumbs Up/Down, optional comments) approved for early rollout. Privacy Confirmed: Feedback is anonymous and stored without personal identifiers. Action: Copy confirmed, pending quick bug fix on language settings (Nikos to resolve). Future: Analytics/sentiment analysis planned for later.",,17-Nov,4.0,15-Dec,baresquare,On Track,Zsofia,Nikos
FALSE,,PRODUCT DEV,Product Version Control (New Feature/UX request),"Investigate if version control and tracking mechanism for Micro Actions product iterations is needed. Out of scope for ""Mini Testing""",Provide visibility and historical tracking to Adidas post-go-live.,Not discussed on 19 Nov. Cover at Product Review on 24 Nov. or regular Weely PJ recap on 27 Nov.,,1-Dec,6.0,12-Jan,baresquare,Not Started,Divya,Nikos
FALSE,,PRODUCT DEV,System Integration Test,"System Integration Testing (SIT): Migrate and test Pilot app from baresquare to adidas technical environment, including service account user setup and stress testing.",Provide confidence to adidas users that the LSRT works securely and adhering to privacy rules on the adidas tech stack.,MVP Deployment Status: MVP version is now deployed onto the Adidas environment. Next Step: Pair programming session with Lucas this Friday to review publishing/sharing options. This session will determine if mini-testing proceeds with Plan A (Adidas env) or Plan B (Baresquare env).,,17-Nov,4.0,15-Dec,baresquare,On Track,Lukas,Nikos
FALSE,X,PRODUCT DEV,LF questions all cohorts,"Develop and finalise the Leadership Framework (LF) questions tailored for the Executive, Manager, and Team Lead leadership cohorts.","Preparing and testing the full range of questions is necessary to ensure the LSRT's content is scalable, relevant, and accurate across all key user segments. This validation confirms the technical and functional stability of the application beyond the Director cohort, which is mandatory for a successful Enterprise Go-Live.","Enterprise Product Timeline: Baresquare requires the LF questions by cohort to be finalised by adidas by end January to ensure the Enterprise Product is ready by end March. Adidas confirmed LF will contain roughly 20-30 questions per cohort, with 3-5 being cohort-specific, and acknowledged the January deadline.",,17-Nov,10.0,26-Jan,adidas,Paused,Zsofia,Nikos
FALSE,X,CHANGE REQUESTS,German language,"German language requirement / budget: Confirm by mid-December, if DE language is required for Enterprise go-live.","LSRT cannot go live in Germany without Workers Council approval. As the Council is highly likely to mandate a German language version, the project requires the associated Change Request (budget) to be approved by mid-December ideally to plan ressources for the April go-live date. ","German LSRT Version: Adidas confirmed German LSRT can wait until the Enterprise go-live (April readiness). Budget Constraint: Adidas stated no new budgets/Change Requests can be confirmed before mid January. 

BSQ Commitment: Baresquare can deliver the German version for an April Enterprise product readiness only if the related budget is approved and Change Request is signed by end January.",,4-Sep,20.0,22-Jan,adidas,Paused,Zsofia,Lars
FALSE,X,CHANGE REQUESTS,IC-Values Self-Reflection Tool,"
IC Self-Reflection Tool: Confirm business requirements by end-November. Facilitate the adidas budget approval process (Change Request).","Timely confirmation allows baresquare to propose a cost-effective solution, enabling the IC Self-Reflection Tool to launch with LSRT or shortly thereafter. Confirming requirements by end-November enables the Change Request quotation by December 6th. If the budget is confirmed by mid-January, baresquare can deliver a solution ready for go-live in April, aligning with the LSRT launch date.",IC-SRT Requirements: High-level business requirements and direction review agreed for 25 November. Baresquare to share requirements questions with Zsofia beforehand. This understanding is needed to provide a realistic budget/timeline estimate and confirm if a IC-SRT April Enterprise product readiness is feasible (contingent on budget approval/Change Request by end January).,,25-Nov,9.0,27-Jan,adidas,On Watch,Zsofia,Lars
FALSE,X,CHANGE REQUESTS,Other languages,"Secure budget approval for implementation of additional languages (“Other”).
Aim to complete this by mid-January if languages beyond English (EN) and German (DE) are required shortly after the Enterprise go-live (assumed go-live: July 2026).","Completing a self-reflection in one’s local language is more engaging and impactful than doing so in a foreign language.
Offering local languages also aligns with our goal of empowering individual markets.","Additional Languages & Governance: Adidas suggests grouping this with the January change requests. Crucial Requirement: A clear roll-out and governance model is needed for approval, detailing local HR's role (e.g., implementing new languages, monitoring user comments).

BSQ Comment: Languages beyond English/German require dedicated scoping and budgeting. We assume these are a requirement for Q3 earliest.",,14-Nov,9.0,16-Jan,adidas,Paused,Zsofia,Lars
FALSE,X,PRODUCT DEV,Review before submit page (New Feauture/UX request),Investigate the idea of introducing a final submission step and come back to Zsofia with an effort/complexity estimation to decide if and when this could be implemented. ,"This step should include all questions and comments, and users should be able to add/edit their scores and comments before submitting their self-reflection",Not discussed on 19 Nov. Cover at Product Review on 24 Nov. or regular Weely PJ recap on 27 Nov.,,17-Nov,4.0,15-Dec,baresquare,On Watch,Zsofia,Lars
TRUE,X,PROJECT ADMIN,Phase 1 billing,"Confirm SAP ""Goods Receipt"" for LSRT Phase 1 by December 5th (invoice to be sent by baresquare by November 28, 2025)",Make sure adidas Accounting team can close FY25 books correctly (see mail adidas GBS sent on 11.11.2025),This item is completed from adidas side.,,28-Nov,1.0,5-Dec,adidas,Completed,Zsofia,Lars
TRUE,,USER TESTING,Mini Testing,"Provide a “mini testing” approach/brief and confirm proposed dates (assume December 2nd & 3rd) for on-site usability testing (5–8 Directors at adidas-Herzo, first week of December). Assume 75 minutes per particpant. Provide a more detailed testing approach to be reviewed on Tuesday 18-Nov (Lars to set up call with Zsofia).",Testing with 5 Directors ideally outside the Global HR department provides impartial feedback on tool usability and usefulness. Usability reasearch has shown that 5 users oncover already 85% of usability issues. It is critical for the project success to validate the pilot professionally before it goes to more extensive testing with 40-50 directors.,Testing dates and HL approach for December 2nd & 3rd. 5-8 Directors; detailed test plan shared,,7-Nov,1.6,18-Nov,baresquare,Completed,Zsofia,Lars
FALSE,,USER TESTING,Mini Testing,"Manage director selection for the early Usability Testing cohort and plan logistics for the onsite sessions (5-8 directors, first week of December).",Targeted selection of 5-8 directors for early usability testing is key to discovering 85–90% of core usability issues prior to the large-scale Pilot Testing (40+ directors) scheduled for January/February.,MVP Mini Testing (adidas prep): Adidas to confirm and invite participants and confirm meeting room details. Participants must be asked to bring their personal work computer and seek consent to record the session.,,14-Nov,2.0,28-Nov,adidas,On Track,Zsofia,Lars
FALSE,,USER TESTING,Mini Testing,"Prepare ""Mini Testing"" documentation and presentation a) for project team and b) for HR SLT",Basis for a) roadmap review (i.e. Feature/UX change prioritization for Pilot Testing and Go-Live) and b) providing visibility to HR SLT on project progress and employee user feedback,"MVP Mini Testing (baresquare prep): Baresquare to prepare user testing details (questions, specialist facilitator, recording set-up), assuming the MVP test will run on the adidas network (""Plan A"").",,4-Dec,1.0,11-Dec,baresquare,On Track,Zsofia,Lars
FALSE,,USER TESTING,Pilot Testing,"Finalise the Pilot Testing approach, brief, and schedule (mid-January to mid-February 2026). Execute large-scale remote user testing (40–50 Directors) and deep-dive interviews (10–12 Directors), specifically including Global HR members for advanced functional feedback.","This large-scale pilot is essential for project success as it provides comprehensive, real-world validation across 40–50 directors prior to the April Enterprise go-live. Critically, it also serves to establish an initial cohort of tool promoters and champions, ensuring positive early adoption and advocacy across the organisation.","Pilot Test Plan: Plan including questions has been submitted from Baresquare to Adidas. Needs review again after MVP Testing is completed, ideally by mid-December.",,27-Oct,6.0,8-Dec,baresquare,Paused,Zsofia,Lars
FALSE,,USER TESTING,Pilot Testing,"Manage director selection for the Pilot Testing cohort and plan all adidas logistics for the remote sessions (40–50 Directors, mid-January to mid-February).",Successful Pilot Testing is a critical path dependency that must be satisfied before the project can proceed to Phase 2 Enterprise Go-Live.,"Pilot Test Plan: Plan including questions has been submitted from Baresquare to Adidas. Needs review again after MVP Testing is completed, ideally by mid-December.",,8-Dec,4.0,5-Jan,adidas,Paused,Zsofia,Lars
FALSE,X,STAKEHOLDER MGT.,Workers Council,Initiate and manage the Workers Council approval process immediately following Pilot readiness (assumed mid January). Allocate eight weeks to secure approval prior to the Enterprise Go-Live date.,The LSRT cannot go live in Germany without formal Workers Council approval. Securing this approval is a mandatory regulatory dependency for the Enterprise phase.,"Adidas confirmed this task end date can be later than 21 January; WoCo approval is secured for pilot/mini-testing (but required prior to go-live day). 

Baresquare Action: Re-schedule and re-phrase for the Enterprise phase",,14-Jan,8.0,11-Mar,adidas,Paused,Zsofia,Lars
FALSE,X,STAKEHOLDER MGT.,InfoSec,"Secure adidas InfoSec Team agreement to finalise the LeanIX approval entry. (The LeanIX entry exists, but the official sign-off is pending this agreement).",The LSRT cannot proceed to go-live without mandatory LeanIX approval secured via the Enterprise Architect. This approval is a non-negotiable technical dependency.,"InfSec Approval (""In Progress""): Project Go Live must be confirmed by InfSec. We assume no major concerns as the adidas tech stack is used. Crucial Timeline: InfSec confirmation is a critical input for the Workers Council before Enterprise Go Live, therefore aim for confirmation by end January.",,1-Sep,21.0,26-Jan,adidas,On Watch,Lukas,Lars
FALSE,X,STAKEHOLDER MGT.,Privacy,"Obtain adidas-Privacy-Team agreement for LeanIX approval (LeanIX entry already there, but official approcal missing)",The LSRT cannot proceed to go-live without mandatory LeanIX approval secured via the Enterprise Architect. This approval is a non-negotiable technical dependency.,"Privacy, Data Storage, & Feature Compliance: 

1./ Download PDF feature is approved. 

2./ Other key features (saving in-progress responses and past submissions) require a Data Privacy Assessment due to storage of unique identifiers/personal data. 

Action: 
- Lukas to trigger formal Privacy Assessment process now; aiming for completion by mid of February, well in time for Enterprise go-live compliance. Confirm if this is critical input for Workers Council as well (same as InfoSec)
- MVP Mini Testing can proceed without the saving feature fully approved. ",,16-Oct,17.0,12-Feb,adidas,On Watch,Lukas,Lars
FALSE,,CONTENT OPS,Learning Recs (Pilot),"Have a topical meeting with Frederike to confirm the status and completion of the ""Learning Assets"" file (mapping LiL Courses to Proficiency-Skill-Level). Once confirmed, executing the mapping of the ""Learning Assets"" file to the Leadership Framework taxonomy.","The LSRT requires useful, integrated learning recommendations that are fully aligned with the Leadership Framework to drive user adoption and value. This mapping is essential for the LSRT to connect effectively with the Learning Agent application.","Learning Recommendations: New Mapping Files provided by Zsofia (18 Nov), to be studied by Baresquare. Confirmed Deadlines: Director Cohort (Pilot Testing) deadline is 12 December. Other 3 Cohorts deadline is mid/end January if required for April go-live readiness.",,3-Oct,10.0,12-Dec,adidas,On Watch,Zsofia,Lars
TRUE,,CONTENT OPS,UI Copy (Mini Test),"Finalise and obtain sign-off on all user interface (UI) copy for the Mini Testing environment, including securing the official, approved adidas privacy statement text.","Confirming the copy, particularly the official privacy statement, is mandatory to ensure the Mini Testing adheres to all internal Data Protection and Compliance requirements. Finalised UI copy also guarantees a professional, unified user experience, preventing confusion and allowing the team to focus solely on usability feedback during the testing phase.",Competed for MVP Mini Test version.,,28-Oct,4.0,25-Nov,adidas,Completed,Zsofia,Nikos
FALSE,,CONTENT OPS,UI Copy (Pilot),"Finalise and obtain sign-off on all user interface (UI) copy for the Pilot Testing environment, including securing the official, approved adidas privacy statement text. Assume UI copy revision may happen after Pilot Testing feedback, and Pilot Testing to conclude by mid-Feb.","Confirming the copy, particularly the official privacy statement, is mandatory to ensure the Pilot Testing environment adheres to all internal Data Protection and Compliance requirements before Enterprise Go-Live. Finalised UI copy guarantees a professional, unified user experience for the 40–50 directors, preventing confusion and securing positive advocacy prior to launch.","Pilot LSRT - UI Copy Re-assessment: UI copy for Pilot Testing will be re-assessed following the MVP Mini-Test, scheduled during the Product Roadmap review on 10 December.",,10-Dec,5.0,14-Jan,adidas,Not Started,Zsofia,Nikos
FALSE,,ANALYTICS,Analytics Reqs,"Define and confirm the Analytics Strategy for the LSRT MVP (Mini Testing reference).

a) Propose essential functional and technical metrics/variables for tracking while ensuring strict adherence to privacy constraints.
b) Confirm implementation feasibility with the tagging team once Google Analytics (GA) and Tealium are confirmed in the baresquare development environment.","Functional and technical analytics are essential for monitoring application stability, performance, and user adoption. For LSRT, we must ensure all data processing is anonymous to maintain privacy compliance, while simultaneously obtaining crucial insights into user behaviour and overall tool usefulness.",Analytics Workstream: Resume as soon as the MVP Mini Test production version is finalised and the Privacy Assessment questionnaire is received.,,28-Nov,3.0,19-Dec,baresquare,Paused,Lukas,Kassiani
FALSE,,STAKEHOLDER MGT.,InfoSec,Complete Infossec questionaire,"Infosec team has to sign-off before Enterprise Architect can approve addidng LA and LSRT apps to adidas (i.e. ""LeanIX entry)","InfoSec Vendor Questionnaire: Baresquare may need to prepare a more comprehensive questionnaire due to the latest privacy feedback on key product features (specifically, the 'save progress' and 'latest submission' requirements).",,16-Oct,17.0,12-Feb,baresquare,On Watch,Lukas,Nikos
FALSE,,STAKEHOLDER MGT.,Privacy,"Provide Data Protection Officer (DPO) privacy considerations for the following product features: 'save progress,' 'save self-reflection,' and 'anonymized analytics.'","Privacy team has to sign-off before Enterprise Architect can approve addidng LA and LSRT apps to adidas (i.e. ""LeanIX entry)","Privacy Vendor Questionnaire: Baresquare may need to prepare a more comprehensive questionnaire due to the latest privacy feedback on key product features (specifically, the 'save progress' and 'latest submission' requirements).",,16-Oct,17.0,12-Feb,baresquare,On Watch,Lukas,Lars
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,